exercise,effects,pct-low,pct-high
SSB Squat,"QUAD_DOMINANT, UPPER_BACK_DEMAND, SHOULDER_FRIENDLY, UPRIGHT_TORSO",0.90,0.95
Trap Bar Deadlift,"QUAD_DOMINANT, UPRIGHT_TORSO, SPINE_DELOAD",1.05,1.15
American Bar Bench,SHOULDER_FRIENDLY,0.95,1.00
Swiss Bar Bench,SHOULDER_FRIENDLY,0.90,1.00
Cambered Bar Squat,"STABILIZER_DEMAND, UPPER_BACK_DEMAND, BOTTOM_RANGE",0.85,0.95
Zercher Squat,"CORE_DEMAND, UPPER_BACK_DEMAND, UPRIGHT_TORSO",0.70,0.85
Duffalo Bar Bench,SHOULDER_FRIENDLY,0.95,1.00
Dumbbell Bench,"UNILATERAL, STABILIZER_DEMAND",0.75,0.90
Bamboo Bar Bench,"STABILIZER_DEMAND, BAR_SPEED",0.80,0.90
Belt Squat,"SPINE_DELOAD, QUAD_DOMINANT",0.85,0.95
Goblet Squat,"QUAD_DOMINANT, UPRIGHT_TORSO, CORE_DEMAND",0.50,0.65
Sumo Deadlift,"HIP_DOMINANT, POSTERIOR_CHAIN, REDUCED_ROM",0.90,1.00
Sumo Squat,"HIP_DOMINANT, POSTERIOR_CHAIN",0.90,1.00
Conventional Deadlift,"HAMSTRING_DOMINANT, POSTERIOR_CHAIN",0.90,1.00
Close Grip Bench,TRICEP_DOMINANT,0.80,0.90
Close Stance Squat,QUAD_DOMINANT,0.85,0.95
Wide Grip Bench,"UPPER_PECS, REDUCED_ROM",0.90,1.00
Wide Stance Squat,POSTERIOR_CHAIN,0.90,1.00
Narrow Grip Bench,TRICEP_DOMINANT,0.85,0.95
Narrow Stance Squat,QUAD_DOMINANT,0.85,0.95
Romanian Deadlift,"HAMSTRING_DOMINANT, BOTTOM_RANGE",0.60,0.75
Front Squat,"QUAD_DOMINANT, UPRIGHT_TORSO, CORE_DEMAND",0.75,0.85
Slingshot Bench,"SUPRAMAXIMAL, LOCKOUT",1.10,1.20
Builder Bench,"BOTTOM_RANGE, SUPRAMAXIMAL",1.05,1.15
Incline Bench,UPPER_PECS,0.85,0.95
Decline Bench,LOWER_PECS,1.00,1.10
Block Pull,"REDUCED_ROM, LOCKOUT",1.05,1.15
Deficit Deadlift,"EXTENDED_ROM, BOTTOM_RANGE",0.85,0.95
Board Press,"REDUCED_ROM, LOCKOUT, SUPRAMAXIMAL",1.05,1.15
Pause Squat,DEAD_STOP,0.85,0.95
Pause Bench,DEAD_STOP,0.85,0.95
Pause Deadlift,DEAD_STOP,0.90,0.95
Floor Press,"REDUCED_ROM, LOCKOUT, NO_LEG_DRIVE, TRICEP_DOMINANT",0.85,0.95
Box Squat,"DEAD_STOP, POSTERIOR_SHIFT",0.90,1.00
Rack Pull,"REDUCED_ROM, LOCKOUT",1.10,1.30
Squat w/ Chains,"ACCOMMODATING_RESISTANCE, BAR_SPEED, STABILIZER_DEMAND",,
Bench w/ Chains,"ACCOMMODATING_RESISTANCE, BAR_SPEED, STABILIZER_DEMAND",,
Deadlift w/ Chains,"ACCOMMODATING_RESISTANCE, BAR_SPEED, STABILIZER_DEMAND",,
Squat w/ Bands,"ACCOMMODATING_RESISTANCE, BAR_SPEED",,
Bench w/ Bands,"ACCOMMODATING_RESISTANCE, BAR_SPEED",,
Deadlift w/ Bands,"ACCOMMODATING_RESISTANCE, BAR_SPEED",,
Squat w/ Reverse Bands,"SUPRAMAXIMAL, LOCKOUT",,
Bench w/ Reverse Bands,"SUPRAMAXIMAL, LOCKOUT",,
Deadlift w/ Reverse Bands,"SUPRAMAXIMAL, LOCKOUT",,
