🏋️ Powerlifting Session Log,,,,,
Date,Exercise,Sets,Reps,Weight (lbs),RPE
2/2/2026,Box Squat,1,1,205,
2/6/2026,Box Squat,5,5,115,
2/6/2026,Deadlift (opposite),8,3,155,
2/25/2026,Bench (American Bar),1,3,95,
2/25/2026,"Bench (American Bar, CG)",1,8,85,
2/25/2026,Seated DB Power Clean,4,10,10,
2/25/2026,H-Roll,4,10,5,
2/25/2026,French Press,4,12,15,
2/25/2026,DB Curl,4,12,10,
2/25/2026,Palloff Press,4,10,60,
2/27/2026,Squat (SSB),6,3,125,
2/27/2026,Deadlift,10,1,175,
2/27/2026,Rev. Hyper,3,20,20,
2/27/2026,Hamstring Curl,3,15,10,
3/2/2026,"Deadlift (2"" deficit)",1,1,205,
3/2/2026,Belt Squat (narrow stance),1,10,125,
3/2/2026,Rev. Hyper (single leg),4,10,20,
3/2/2026,Hatfield Back Raise,4,10,25,
3/2/2026,RDL (dumbbell),4,10,30,
3/4/2026,Floor Press (chain),1,1,115,
3/4/2026,Incline Bench,3,6,75,9
3/4/2026,Seated DB Power Clean,4,10,12,
3/4/2026,H-Roll,4,10,7,
3/4/2026,French Press,4,12,20,
3/4/2026,dumbbell Curl,4,12,12,
3/4/2026,Palloff Press,4,10,70,
3/6/2026,Squat (SSB),6,3,135,
3/6/2026,Deadlift (opposite),6,3,165,
3/9/2026,Deadlift (opposite),1,1,235,
3/9/2026,Leg Press,3,20,185,
3/9/2026,Rev. Hyper (single leg),4,10,20,
3/9/2026,Hatfield Back Raise,4,10,25,
3/9/2026,RDL (dumbbell),4,10,30,
3/11/2026,Bench (commands),3,1,120,9.5
3/11/2026,Bench (dumbbell),1,8,40,
3/13/2026,Squat (SSB),6,3,145,
3/25/2026,Bench (2 board),1,1,165,
3/30/2026,"Deadlift (2"" block)",1,1,225,
3/30/2026,"Deadlift (2"" block)",2,5,160,
4/1/2026,Floor Press,1,3,125,
4/3/2026,Squat,5,5,125,
4/4/2026,"Bench (Swiss Bar, chain)",9,3,60,
4/4/2026,Bench Builder,1,8,75,
4/8/2026,Bench (bands),1,1,110,
4/11/2026,Bench,9,3,85,
4/11/2026,Bench Builder,1,8,80,
4/11/2026,"Bench (dumbbell, decline)",4,10,25,
4/13/2026,Deadlift,1,3,225,
4/13/2026,Deadlift,2,5,180,
4/20/2026,Deadlift (bands),1,1,195,
4/20/2026,Deadlift (bands),3,3,155,
4/22/2026,Floor Press,1,1,140,
4/22/2026,Bench (dumbbell),1,10,40,
4/24/2026,"Deadlift (2"" block)",5,5,165,
4/25/2026,Bench,9,3,100,
4/25/2026,Bench Builder,1,8,85,
4/27/2026,Deadlift (light rev. bands),1,1,265,
4/27/2026,Deadlift,2,3,215,
4/29/2026,Bench (CG),1,3,115,
4/29/2026,Bench (2 board),1,5,145,
5/1/2026,Deadlift (bands),9,3,135,
5/4/2026,Deadlift (opposite),1,1,250,
5/4/2026,Deadlift (opposite),2,5,175,
5/6/2026,"Bench (Slingshot, chain)",1,1,145,
5/6/2026,Bench,1,14,95,
5/7/2026,Bench (bands),6,3,75,
5/7/2026,Bench (bands),2,3,65,
5/7/2026,Bench Builder,1,8,90,
5/11/2026,Deadlift,1,1,255,
5/11/2026,Deadlift,3,3,185,
5/13/2026,Floor Press (Swiss bar),1,3,115,
5/18/2026,Squat,4,3,135,
5/20/2026,Bench (1 board),1,1,165,
5/27/2026,Bench (Duffalo),1,1,125,
5/27/2026,Bench (Duffalo),2,5,100,
5/29/2026,Squat,4,3,135,
5/29/2026,Deadlift,4,3,155,
5/30/2026,Bench (bands),9,3,80,
5/30/2026,Bench Builder,1,8,95,
6/1/2026,"Deadlift (2"" block)",1,1,265,
6/1/2026,"Deadlift (2"" block)",2,5,210,
6/3/2026,Floor Press (chain),1,1,140,
6/3/2026,Floor Press (chain),2,5,110,
6/5/2026,Squat,4,3,145,
6/5/2026,Deadlift,4,3,165,
6/8/2026,Box Squat,1,1,215,
6/10/2026,Bench (Slingshot),1,1,190,
6/15/2026,Deadlift (mini rev. bands),1,1,275,
6/17/2026,Bench (commands),1,3,135,
6/22/2026,Squat,3,3,185,9,
